CustomerKey,CustomerCode,CustomerName,Education,Occupation,Continent,City,State,CountryRegion
13,11012,"Walker, Lauren",Bachelors,Management,North America,Bremerton,Washington,United States
14,11013,"Jenkins, Ian",Bachelors,Management,North America,Lebanon,Oregon,United States
15,11014,"Bennett, Sydney",Bachelors,Management,North America,Redmond,Washington,United States
16,11015,"Young, Chloe",Partial College,Skilled Manual,North America,Burbank,California,United States
17,11016,"Hill, Wyatt",Partial College,Skilled Manual,North America,Imperial Beach,California,United States
41,11040,"Murphy, Jesse",Partial College,Skilled Manual,North America,Tacoma,Washington,United States
82,11081,"Baker, Savannah",Bachelors,Management,North America,Concord,California,United States
83,11082,"Butler, Angela",Graduate Degree,Management,North America,Fremont,California,United States
84,11083,"Cox, Alyssa",Graduate Degree,Management,North America,Lincoln Acres,California,United States
88,11087,"Liang, Tamara",Partial College,Professional,North America,Chula Vista,California,United States
89,11088,"Davis, Hunter",Bachelors,Management,North America,San Diego,California,United States
90,11089,"Price, Abigail",Bachelors,Management,North America,Long Beach,California,United States
91,11090,"Bryant, Trevor",Partial College,Professional,North America,Los Angeles,California,United States
128,11127,"Edwards, Jan",High School,Skilled Manual,North America,San Gabriel,California,United States
129,11128,"Long, Samantha",High School,Skilled Manual,North America,Renton,Washington,United States
130,11129,"Wright, Julia",High School,Skilled Manual,North America,Sedro Woolley,Washington,United States
131,11130,"Russell, Caroline",High School,Skilled Manual,North America,Lebanon,Oregon,United States
134,11133,"Griffin, Angela",Partial High School,Clerical,North America,Lake Oswego,Oregon,United States
136,11135,"Harris, Marcus",Partial High School,Clerical,North America,Burlingame,California,United States
138,11137,"Taylor, Jasmine",High School,Skilled Manual,North America,Spokane,Washington,United States
139,11138,"Davis, Lauren",High School,Skilled Manual,North America,Glendale,California,United States
141,11140,"Alvarez, Javier",Partial High School,Clerical,North America,Burbank,California,United States
142,11141,"Ramirez, Nicole",High School,Skilled Manual,North America,Daly City,California,United States
144,11143,"Henderson, Jonathan",High School,Skilled Manual,North America,Lakewood,California,United States
145,11144,"Hernandez, Edward",High School,Skilled Manual,North America,Ballard,Washington,United States
146,11145,"Coleman, Jasmine",High School,Skilled Manual,North America,Beaverton,Oregon,United States
153,11152,"Williams, James",High School,Skilled Manual,North America,Puyallup,Washington,United States
154,11153,"James, Angela",High School,Skilled Manual,North America,Renton,Washington,United States
155,11154,"Walker, Megan",Partial College,Skilled Manual,North America,Woodburn,Oregon,United States
156,11155,"Robinson, Hunter",Partial College,Skilled Manual,North America,Burbank,California,United States
157,11156,"Roberts, Maria",Partial College,Skilled Manual,North America,Lakewood,California,United States
158,11157,"Long, Hannah",High School,Skilled Manual,North America,Tacoma,Washington,United States
159,11158,"Wright, Jason",High School,Skilled Manual,North America,San Gabriel,California,United States
160,11159,"Hughes, Brianna",High School,Skilled Manual,North America,Woodland Hills,California,United States
161,11160,"Tang, Maurice",Partial College,Skilled Manual,North America,Concord,California,United States
162,11161,"Wood, Emily",Partial College,Skilled Manual,North America,Concord,California,United States
163,11162,"Cox, Chase",Partial College,Skilled Manual,North America,La Jolla,California,United States
164,11163,"Wang, Gabriel",Partial College,Skilled Manual,North America,Spring Valley,California,United States
165,11164,"Brooks, Devin",Partial College,Skilled Manual,North America,Torrance,California,United States
166,11165,"Alexander, Jocelyn",Partial College,Skilled Manual,North America,Oakland,California,United States
167,11166,"Martinez, Ashley",Partial College,Skilled Manual,North America,Olympia,Washington,United States
168,11167,"Barnes, Jasmine",Bachelors,Management,North America,Issaquah,Washington,United States
169,11168,"Rodriguez, David",Bachelors,Management,North America,Oakland,California,United States
170,11169,"Richardson, Bryce",Bachelors,Management,North America,Coronado,California,United States
171,11170,"Howard, Carol",Bachelors,Management,North America,Burien,Washington,United States
172,11171,"Hill, Jonathan",Bachelors,Management,North America,Woodland Hills,California,United States
173,11172,"Adams, Gabrielle",Bachelors,Management,North America,Lynnwood,Washington,United States
174,11173,"Thomas, Sarah",Graduate Degree,Management,North America,W. Linn,Oregon,United States
175,11174,"Robinson, Nicholas",Graduate Degree,Management,North America,Los Angeles,California,United States
176,11175,"Wang, Luis",Partial College,Skilled Manual,North America,Beverly Hills,California,United States
178,11177,"Flores, Jose",Graduate Degree,Management,North America,San Diego,California,United States
